LearningRate,DiscountFactor,ExplorationRate,DecayFactor,DecayThreshold,AverageReward
0.5,0.9,0.75,0.5,3000,7.81
0.5,0.9,0.75,0.9,500,8.11
0.5,0.9,0.75,0.9,1000,8.14
0.5,0.9,0.75,0.9,2000,7.78
0.5,0.9,0.75,0.9,3000,8.06
0.5,0.9,0.75,0.95,500,7.36
0.5,0.9,0.75,0.95,1000,7.99
0.5,0.9,0.75,0.95,2000,8.08
0.5,0.9,0.75,0.95,3000,7.47
0.5,0.9,0.75,0.999,500,7.55
0.5,0.9,0.75,0.999,1000,7.62
0.5,0.9,0.75,0.999,2000,8.06
0.5,0.9,0.75,0.999,3000,8.17
0.5,0.9,0.5,0.5,500,8.2
0.5,0.9,0.5,0.5,1000,8.27
0.5,0.9,0.5,0.5,2000,7.88
0.5,0.9,0.5,0.5,3000,8.06
0.5,0.9,0.5,0.9,500,8.0
0.5,0.9,0.5,0.9,1000,8.12
0.5,0.9,0.5,0.9,2000,7.67
0.5,0.9,0.5,0.9,3000,7.85
0.5,0.9,0.5,0.95,500,7.91
0.5,0.9,0.5,0.95,1000,7.69
0.5,0.9,0.5,0.95,2000,8.0
0.5,0.9,0.5,0.95,3000,8.07
0.5,0.9,0.5,0.999,500,7.6
0.5,0.9,0.5,0.999,1000,7.54
0.5,0.9,0.5,0.999,2000,8.16
0.5,0.9,0.5,0.999,3000,8.42
0.5,0.9,0.25,0.5,500,8.15
0.5,0.9,0.25,0.5,1000,7.78
0.5,0.9,0.25,0.5,2000,7.78
0.5,0.9,0.25,0.5,3000,7.89
0.5,0.9,0.25,0.9,500,8.03
0.5,0.9,0.25,0.9,1000,8.29
0.5,0.9,0.25,0.9,2000,7.64
0.5,0.9,0.25,0.9,3000,8.1
0.5,0.9,0.25,0.95,500,8.03
0.5,0.9,0.25,0.95,1000,7.66
0.5,0.9,0.25,0.95,2000,8.09
0.5,0.9,0.25,0.95,3000,7.87
0.5,0.9,0.25,0.999,500,7.7
0.5,0.9,0.25,0.999,1000,8.19
0.5,0.9,0.25,0.999,2000,7.76
0.5,0.9,0.25,0.999,3000,7.87
0.5,0.99,1.0,0.5,500,7.93
0.5,0.99,1.0,0.5,1000,7.74
0.5,0.99,1.0,0.5,2000,7.56
0.5,0.99,1.0,0.5,3000,7.7
0.5,0.99,1.0,0.9,500,8.13
0.5,0.99,1.0,0.9,1000,7.89
0.5,0.99,1.0,0.9,2000,8.16
0.5,0.99,1.0,0.9,3000,7.62
0.5,0.99,1.0,0.95,500,7.95
0.5,0.99,1.0,0.95,1000,8.36
0.5,0.99,1.0,0.95,2000,8.05
0.5,0.99,1.0,0.95,3000,7.89
0.5,0.99,1.0,0.999,500,8.35
0.5,0.99,1.0,0.999,1000,7.65
0.5,0.99,1.0,0.999,2000,8.57
0.5,0.99,1.0,0.999,3000,8.03
0.5,0.99,0.75,0.5,500,7.95
0.5,0.99,0.75,0.5,1000,7.82
0.5,0.99,0.75,0.5,2000,7.97
0.5,0.99,0.75,0.5,3000,7.72
0.5,0.99,0.75,0.9,500,7.9
0.5,0.99,0.75,0.9,1000,7.99
0.5,0.99,0.75,0.9,2000,7.92
0.5,0.99,0.75,0.9,3000,7.29
0.5,0.99,0.75,0.95,500,8.14
0.5,0.99,0.75,0.95,1000,7.82
0.5,0.99,0.75,0.95,2000,7.88
0.5,0.99,0.75,0.95,3000,7.38
0.5,0.99,0.75,0.999,500,8.35
0.5,0.99,0.75,0.999,1000,7.81
0.5,0.99,0.75,0.999,2000,7.83
0.5,0.99,0.75,0.999,3000,8.0
0.5,0.99,0.5,0.5,500,7.87
0.5,0.99,0.5,0.5,1000,7.86
0.5,0.99,0.5,0.5,2000,7.84
0.5,0.99,0.5,0.5,3000,7.66
0.5,0.99,0.5,0.9,500,7.85
0.5,0.99,0.5,0.9,1000,7.71
0.5,0.99,0.5,0.9,2000,8.13
0.5,0.99,0.5,0.9,3000,8.04
0.5,0.99,0.5,0.95,500,7.74
0.5,0.99,0.5,0.95,1000,7.97
0.5,0.99,0.5,0.95,2000,7.75
0.5,0.99,0.5,0.95,3000,7.86
0.5,0.99,0.5,0.999,500,7.42
0.5,0.99,0.5,0.999,1000,7.82
0.5,0.99,0.5,0.999,2000,8.14
0.5,0.99,0.5,0.999,3000,7.97
0.5,0.99,0.25,0.5,500,7.67
0.5,0.99,0.25,0.5,1000,8.09
0.5,0.99,0.25,0.5,2000,7.95
0.5,0.99,0.25,0.5,3000,7.65
0.5,0.99,0.25,0.9,500,8.22
0.5,0.99,0.25,0.9,1000,7.5
0.5,0.99,0.25,0.9,2000,7.54
0.5,0.99,0.25,0.9,3000,7.55
0.5,0.99,0.25,0.95,500,8.05
0.5,0.99,0.25,0.95,1000,7.99
0.5,0.99,0.25,0.95,2000,7.53
0.5,0.99,0.25,0.95,3000,8.21
0.5,0.99,0.25,0.999,500,7.88
0.5,0.99,0.25,0.999,1000,7.32
0.5,0.99,0.25,0.999,2000,7.89
0.5,0.99,0.25,0.999,3000,7.66
0.8,0.1,1.0,0.5,500,7.97
0.8,0.1,1.0,0.5,1000,8.18
0.8,0.1,1.0,0.5,2000,5.45
0.8,0.1,1.0,0.5,3000,7.88
0.8,0.1,1.0,0.9,500,8.1
0.8,0.1,1.0,0.9,1000,7.88
0.8,0.1,1.0,0.9,2000,5.66
0.8,0.1,1.0,0.9,3000,7.54
0.8,0.1,1.0,0.95,500,7.54
0.8,0.1,1.0,0.95,1000,7.9
0.8,0.1,1.0,0.95,2000,7.63
0.8,0.1,1.0,0.95,3000,7.33
0.8,0.1,1.0,0.999,500,7.8
0.8,0.1,1.0,0.999,1000,7.97
0.8,0.1,1.0,0.999,2000,8.05
0.8,0.1,1.0,0.999,3000,8.05
0.8,0.1,0.75,0.5,500,7.57
0.8,0.1,0.75,0.5,1000,8.09
0.8,0.1,0.75,0.5,2000,7.93
0.8,0.1,0.75,0.5,3000,8.03
0.8,0.1,0.75,0.9,500,7.64
0.8,0.1,0.75,0.9,1000,8.18
0.8,0.1,0.75,0.9,2000,7.96
0.8,0.1,0.75,0.9,3000,8.3
0.8,0.1,0.75,0.95,500,7.86
0.8,0.1,0.75,0.95,1000,7.99
0.8,0.1,0.75,0.95,2000,7.86
0.8,0.1,0.75,0.95,3000,7.85
0.8,0.1,0.75,0.999,500,8.19
0.8,0.1,0.75,0.999,1000,7.87
0.8,0.1,0.75,0.999,2000,7.87
0.8,0.1,0.75,0.999,3000,7.77
0.8,0.1,0.5,0.5,500,7.74
0.8,0.1,0.5,0.5,1000,8.09
0.8,0.1,0.5,0.5,2000,7.56
0.8,0.1,0.5,0.5,3000,7.46
0.8,0.1,0.5,0.9,500,8.15
0.8,0.1,0.5,0.9,1000,7.76
0.8,0.1,0.5,0.9,2000,7.85
0.8,0.1,0.5,0.9,3000,7.99
0.8,0.1,0.5,0.95,500,7.66
0.8,0.1,0.5,0.95,1000,7.97
0.8,0.1,0.5,0.95,2000,7.55
0.8,0.1,0.5,0.95,3000,7.64
0.8,0.1,0.5,0.999,500,7.77
0.8,0.1,0.5,0.999,1000,7.87
0.8,0.1,0.5,0.999,2000,7.94
0.8,0.1,0.5,0.999,3000,7.64
0.8,0.1,0.25,0.5,500,7.66
0.8,0.1,0.25,0.5,1000,7.86
0.8,0.1,0.25,0.5,2000,7.82
0.8,0.1,0.25,0.5,3000,7.81
0.8,0.1,0.25,0.9,500,8.11
0.8,0.1,0.25,0.9,1000,8.12
0.8,0.1,0.25,0.9,2000,8.13
0.8,0.1,0.25,0.9,3000,8.59
0.8,0.1,0.25,0.95,500,7.99
0.8,0.1,0.25,0.95,1000,8.43
0.8,0.1,0.25,0.95,2000,7.93
0.8,0.1,0.25,0.95,3000,7.54
0.8,0.1,0.25,0.999,500,7.89
0.8,0.1,0.25,0.999,1000,7.93
0.8,0.1,0.25,0.999,2000,7.79
0.8,0.1,0.25,0.999,3000,8.39
0.8,0.5,1.0,0.5,500,8.05
0.8,0.5,1.0,0.5,1000,8.1
0.8,0.5,1.0,0.5,2000,7.71
0.8,0.5,1.0,0.5,3000,7.88
